top Temperature_lag13,top Pressure_lag13,reflux flow_lag13,flow to next process_lag13,6th tray Temperature_lag13,bottom Temperature 1_lag13,bottom Temperature 2_lag13,PT_lag13,dT_lag13,dT2_lag13,Refux Ratio_lag13,Log_top_T_lag13,reflux_times_Ttray6_lag13,T_all_avg_lag13,C4 content
0.26890035,0.65089438,0.83274183,0.58342045,0.7847593,0.84307935,0.8220792,0.3076792240660297,0.2673804302372445,0.2158909651204388,0.697775018638473,0.3111195112111118,0.7769961935393496,0.7506339573977331,0.15703897
0.2684825,0.65013964,0.85215319,0.57751002,0.77648749,0.83860539,0.8220792,0.3068449018531731,0.2682080036143823,0.216080008259657,0.7167155608714162,0.3106652648145718,0.7857469416894733,0.7465899632070326,0.15915777
0.26796671,0.65965652,0.823618,0.57159959,0.76454632,0.80787913,0.78624615,0.3107384434325391,0.2695042913214197,0.2193302766542366,0.6953207800150074,0.310104432053329,0.7548104018167003,0.722315383961292,0.16383627
0.26745093,0.66833758,0.80837106,0.56568943,0.75260515,0.79960565,0.78624615,0.3142217742922264,0.2708182533634146,0.2199145165056854,0.6850250035561279,0.3095434826077525,0.7340203105921961,0.7159467909381935,0.16700677
0.26693514,0.64719141,0.76194846,0.559779,0.74532558,0.77312176,0.74614159,0.3036929959458267,0.2714233454914008,0.2227687783288613,0.6481325200811686,0.3089823946683014,0.6946006558903609,0.6930953491978393,0.17250859
0.26641935,0.63366494,0.77462131,0.55508364,0.75605897,0.81134063,0.78637285,0.2967711813893621,0.2692430939445692,0.2176470420068869,0.6609018597291402,0.3084211790514093,0.7160200971256032,0.7203349523634267,0.17834621
0.26590356,0.65401213,0.77442026,0.55176194,0.76679367,0.85166111,0.8207948,0.3057076013787924,0.2670891347309997,0.2124955208835495,0.6621446838268364,0.3078598356989559,0.7273092752405965,0.7464359158821338,0.18713385
0.26538841,0.67228673,0.77399669,0.54843996,0.76124364,0.80560537,0.8220792,0.3136409595684314,0.2674117084077453,0.2174934830801276,0.6632022928836694,0.3072990613138451,0.7229931743753255,0.7308184344024629,0.19605279
0.26347663,0.63933733,0.76210002,0.54511799,0.75324913,0.81117475,0.7890024,0.29612048047464,0.2666959200309555,0.2152627472579616,0.6544125357790537,0.3052168487189792,0.7075879460508451,0.7193245728436708,0.20504501
0.25270868,0.66221558,0.77037209,0.54179601,0.74525461,0.8131637,0.7890024,0.2941818236718072,0.2569681330984152,0.2062387544026305,0.6629410455120246,0.293456001512943,0.7075783084730664,0.714171581687925,0.20952408
0.24194074,0.65263973,0.75952555,0.53847403,0.72511523,0.80074801,0.7890024,0.27757400733716,0.2488907745624014,0.1988122748947735,0.655018406757724,0.2816388135495866,0.6816789545002523,0.7008623247537645,0.21723898
0.23117215,0.62835812,0.73648,0.53515206,0.70319636,0.77465534,0.74215995,0.2553518603384731,0.2408733184227809,0.1927563196072759,0.6365182262770683,0.2697640128178153,0.6456210159663731,0.6684140240639247,0.22518005
0.22040421,0.64368891,0.6771766,0.53183008,0.68127749,0.72846345,0.72009428,0.2493975570409515,0.2326475007107803,0.1886891026096447,0.5865332478036721,0.2578324823427294,0.5843322045716449,0.6374029157317251,0.23545468
0.20963626,0.62204892,0.54615287,0.52850811,0.68163628,0.72187691,0.70129169,0.2292383246936698,0.2212341869753634,0.1801571215917423,0.4740757697670379,0.2458429373945059,0.4879011907945592,0.6264053271658891,0.2410065
0.20081381,0.62629731,0.39974908,0.52518641,0.68525832,0.7491448,0.71750639,0.221090664400217,0.2114681665997709,0.1698849654861773,0.3477489537998104,0.2359759770352003,0.3737250401035708,0.6381659912937921,0.24419737
0.2046412,0.66604385,0.41583856,0.52186443,0.69710881,0.80729856,0.75426282,0.2396029599115501,0.2139938487620319,0.1675522656784676,0.3625351143693215,0.2402613494030374,0.3945466068769389,0.6721397395971288,0.24873731
0.20846859,0.64667252,0.39353121,0.51854245,0.71016445,0.81203543,0.79776931,0.2369852507411178,0.216331946826689,0.1702397910578036,0.3438377292996016,0.2445392885546802,0.3834174505969361,0.6921472104008506,0.2509001
0.21229597,0.64348843,0.40741532,0.51522048,0.72322009,0.78856079,0.76860472,0.2401478899693832,0.2186346063073253,0.1756407075781775,0.3567490374969672,0.2488098090839743,0.4035113307640618,0.6811625492269893,0.24885268
0.16221304,0.64801691,0.40327008,0.5118985,0.73032224,0.79221476,0.77153628,0.1847857107526369,0.1663706362432112,0.1339315352910129,0.3538951829756986,0.1923348535629321,0.4045708489486337,0.6699815686480082,0.25192147
0.23296755,0.65005561,0.42117666,0.50857652,0.72738229,0.79106145,0.79391437,0.2662209479241926,0.239345283463127,0.1924740034055464,0.3704232504884228,0.2717478223635134,0.4196197839800976,0.6973353340790824,0.25753295
0.23410343,0.66856017,0.42502993,0.50525455,0.72444102,0.76578095,0.76576342,0.2751341879824351,0.240922485933007,0.196181514674456,0.3746371586228025,0.273002078160999,0.4221319444221705,0.6803660307968054,0.2642149
0.23523995,0.63906609,0.43341403,0.50193257,0.72150107,0.77440339,0.76640041,0.2642732067371887,0.2425055516850997,0.1961759902403629,0.382872184809497,0.2742564025810119,0.4285809071035626,0.6826565877018104,0.27009967
0.23637582,0.66292315,0.42831267,0.5016748,0.71879111,0.76979798,0.75872178,0.2754625199834324,0.244060700601449,0.1976361963353044,0.3784306596603401,0.2755093725668758,0.4225903908327369,0.6783992331736509,0.27675261
0.23751234,0.63818162,0.39763885,0.50487964,0.71698929,0.75037322,0.7334156,0.2664567662353216,0.2454915206941863,0.2007902644979408,0.3505809622026312,0.2767624227867791,0.3938690334529747,0.6644530594889319,0.27988109
0.23864822,0.6449198,0.42705382,0.50808447,0.71518878,0.78046727,0.76908724,0.2705578832462932,0.2469244961780511,0.1983404702190168,0.3757147363520086,0.2780141316115301,0.417801573642114,0.6844527486662584,0.28342946
0.23978473,0.66890363,0.41247871,0.51128958,0.71338696,0.79760105,0.78425185,0.2819560112135749,0.2483613257618251,0.1973855441999868,0.3621221877790851,0.2792658992005468,0.4033510430717385,0.6941707435456275,0.28342662
0.24092061,0.65813818,0.34141101,0.51449442,0.71158514,0.7576311,0.76273293,0.2787323153711917,0.2498005272835204,0.2028305457477252,0.2990963621789129,0.2805163384168223,0.3389261429681545,0.6750761714929484,0.28338823
0.24205712,0.63964394,0.41901848,0.51769925,0.70714302,0.8161041,0.79727117,0.2721776336103352,0.2516319939260362,0.1972260407338561,0.3663099737737434,0.2817668369813442,0.403923758128154,0.7026346277985178,0.28115132
0.243193,0.68228859,0.36660515,0.52090408,0.69927073,0.75726961,0.77451297,0.2916859169115278,0.2539840226480744,0.2047857840840825,0.3198144060666631,0.2830160091620626,0.3538057634265587,0.6754990551163988,0.28221239
0.24432951,0.62778027,0.26455133,0.52662278,0.68626766,0.75167832,0.72477193,0.2696372374263228,0.2571386248078831,0.2063995293943745,0.2299214537402443,0.2842652412725233,0.2569606744074238,0.6548548918253349,0.28340843
0.072806216,0.64301672,0.29756288,0.53518217,0.70917746,0.78023567,0.79339019,0.0822975692424849,0.0755960679730947,0.060517098114468,0.2571698915662921,0.0881855622800686,0.2943709029968808,0.6390526653801839,0.2853386
0.13205885,0.64728575,0.14761046,0.54374157,0.70422278,0.79172496,0.76959753,0.1502656933311583,0.1375178420750299,0.1090644719063694,0.1268655833208888,0.1576977334758185,0.1506718176558137,0.6519538167152178,0.28649487
0.14003798,0.66483066,0.20091353,0.55230124,0.73735078,0.82623038,0.80774598,0.1636639993722908,0.1430461679204218,0.1134690471789012,0.1717253719953053,0.1669105297263322,0.2102663383454954,0.6869023204800079,0.29006141
0.13542133,0.66495153,0.22386432,0.55197965,0.73233565,0.82892822,0.82702241,0.1582972414781172,0.1387308144186199,0.1095664390935986,0.1913815836444035,0.1615842882728211,0.2311964535430428,0.6906940554175691,0.2932166
