top Temperature,top Pressure,reflux flow,flow to next process,6th tray Temperature,bottom Temperature 1,bottom Temperature 2,PT,dT,dT2,Refux Ratio,Log_top_T,reflux_times_Ttray6,T_all_avg,C4 content
0.26890035,0.65089438,0.83274183,0.58342045,0.7847593,0.84307935,0.8220792,0.307679224,0.26738043,0.215890965,0.697775019,0.311119511,0.776996194,0.750633957,0.15703897
0.2684825,0.65013964,0.85215319,0.57751002,0.77648749,0.83860539,0.8220792,0.306844902,0.268208004,0.216080008,0.716715561,0.310665265,0.785746942,0.746589963,0.15915777
0.26796671,0.65965652,0.823618,0.57159959,0.76454632,0.80787913,0.78624615,0.310738443,0.269504291,0.219330277,0.69532078,0.310104432,0.754810402,0.722315384,0.16383627
0.26745093,0.66833758,0.80837106,0.56568943,0.75260515,0.79960565,0.78624615,0.314221774,0.270818253,0.219914517,0.685025004,0.309543483,0.734020311,0.715946791,0.16700677
0.26693514,0.64719141,0.76194846,0.559779,0.74532558,0.77312176,0.74614159,0.303692996,0.271423345,0.222768778,0.64813252,0.308982395,0.694600656,0.693095349,0.17250859
0.26641935,0.63366494,0.77462131,0.55508364,0.75605897,0.81134063,0.78637285,0.296771181,0.269243094,0.217647042,0.66090186,0.308421179,0.716020097,0.720334952,0.17834621
0.26590356,0.65401213,0.77442026,0.55176194,0.76679367,0.85166111,0.8207948,0.305707601,0.267089135,0.212495521,0.662144684,0.307859836,0.727309275,0.746435916,0.18713385
0.26538841,0.67228673,0.77399669,0.54843996,0.76124364,0.80560537,0.8220792,0.31364096,0.267411708,0.217493483,0.663202293,0.307299061,0.722993174,0.730818434,0.19605279
0.26347663,0.63933733,0.76210002,0.54511799,0.75324913,0.81117475,0.7890024,0.29612048,0.26669592,0.215262747,0.654412536,0.305216849,0.707587946,0.719324573,0.20504501
0.25270868,0.66221558,0.77037209,0.54179601,0.74525461,0.8131637,0.7890024,0.294181824,0.256968133,0.206238754,0.662941046,0.293456002,0.707578308,0.714171582,0.20952408
0.24194074,0.65263973,0.75952555,0.53847403,0.72511523,0.80074801,0.7890024,0.277574007,0.248890775,0.198812275,0.655018407,0.281638814,0.681678955,0.700862325,0.21723898
0.23117215,0.62835812,0.73648,0.53515206,0.70319636,0.77465534,0.74215995,0.25535186,0.240873318,0.19275632,0.636518226,0.269764013,0.645621016,0.668414024,0.22518005
0.22040421,0.64368891,0.6771766,0.53183008,0.68127749,0.72846345,0.72009428,0.249397557,0.232647501,0.188689103,0.586533248,0.257832482,0.584332205,0.637402916,0.23545468
0.20963626,0.62204892,0.54615287,0.52850811,0.68163628,0.72187691,0.70129169,0.229238325,0.221234187,0.180157122,0.47407577,0.245842937,0.487901191,0.626405327,0.2410065
0.20081381,0.62629731,0.39974908,0.52518641,0.68525832,0.7491448,0.71750639,0.221090664,0.211468167,0.169884965,0.347748954,0.235975977,0.37372504,0.638165991,0.24419737
0.2046412,0.66604385,0.41583856,0.52186443,0.69710881,0.80729856,0.75426282,0.23960296,0.213993849,0.167552266,0.362535114,0.240261349,0.394546607,0.67213974,0.24873731
0.20846859,0.64667252,0.39353121,0.51854245,0.71016445,0.81203543,0.79776931,0.236985251,0.216331947,0.170239791,0.343837729,0.244539289,0.383417451,0.69214721,0.2509001
0.21229597,0.64348843,0.40741532,0.51522048,0.72322009,0.78856079,0.76860472,0.24014789,0.218634606,0.175640708,0.356749037,0.248809809,0.403511331,0.681162549,0.24885268
0.16221304,0.64801691,0.40327008,0.5118985,0.73032224,0.79221476,0.77153628,0.184785711,0.166370636,0.133931535,0.353895183,0.192334854,0.404570849,0.669981569,0.25192147
0.23296755,0.65005561,0.42117666,0.50857652,0.72738229,0.79106145,0.79391437,0.266220948,0.239345283,0.192474003,0.37042325,0.271747822,0.419619784,0.697335334,0.25753295
0.23410343,0.66856017,0.42502993,0.50525455,0.72444102,0.76578095,0.76576342,0.275134188,0.240922486,0.196181515,0.374637159,0.273002078,0.422131944,0.680366031,0.2642149
0.23523995,0.63906609,0.43341403,0.50193257,0.72150107,0.77440339,0.76640041,0.264273207,0.242505552,0.19617599,0.382872185,0.274256403,0.428580907,0.682656588,0.27009967
0.23637582,0.66292315,0.42831267,0.5016748,0.71879111,0.76979798,0.75872178,0.27546252,0.244060701,0.197636196,0.37843066,0.275509373,0.422590391,0.678399233,0.27675261
0.23751234,0.63818162,0.39763885,0.50487964,0.71698929,0.75037322,0.7334156,0.266456766,0.245491521,0.200790264,0.350580962,0.276762423,0.393869033,0.664453059,0.27988109
